specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 113/G130M_1291_LP5_2062.400_16812/lf2t1c010/lf2t1c010_continuumfit.fits|1239.9253|0.00087|16.141|0.024|17.333|2.084|8.355|1.145|2|2|2|-28.4091|28.4091|1240.8863009328188|1241.1212979175673|11710|11734|0.0009|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 113/G130M_1291_LP5_2062.400_16812/lf2t1c010/lf2t1c010_continuumfit.fits|1240.3947|0.00087|16.141|0.0|17.333|0.0|8.355|0.0|2|2|2|-28.4091|28.4091|1241.3560647400882|1241.5911506879258|11758|11781|0.0009|MgII|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 113/G130M_1291_LP5_2062.400_16812/lf2t1c010/lf2t1c010_continuumfit.fits|1250.578|6e-05|15.396|0.024|11.018|0.45|-10.331|0.288|2|2|2|-40.107|40.107|1250.4876550542288|1250.8222660860113|12674|12707|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 113/G130M_1291_LP5_2062.400_16812/lf2t1c010/lf2t1c010_continuumfit.fits|1253.805|6e-05|15.396|0.0|11.018|0.0|-10.331|0.0|2|2|2|-40.107|40.107|1253.7144219275146|1254.0498963918856|12997|13031|3e-05|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 113/G130M_1291_LP5_2062.400_16812/lf2t1c010/lf2t1c010_continuumfit.fits|1317.217|0.00089|14.081|0.014|26.586|1.451|1.657|0.902|2|2|2|-38.4358|38.4358|1318.2232246631904|1318.5609802525494|20477|20511|0.0009|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 113/G130M_1291_LP5_2062.400_16812/lf2t1c010/lf2t1c010_continuumfit.fits|1370.132|0.00089|14.081|0.0|26.586|0.0|1.657|0.0|2|2|2|-38.4358|38.4358|1371.1786465360124|1371.5299703810276|25789|25824|0.0009|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 113/G130M_1291_LP5_2062.400_16812/lf2t1c010/lf2t1c010_continuumfit.fits|1142.3656|-1e-05|14.526|0.013|28.08|1.158|6.072|0.723|2|2|2|-33.4225|33.4225|1142.2321311899584|1142.4868454981217|1813|1839|1e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 113/G130M_1291_LP5_2062.400_16812/lf2t1c010/lf2t1c010_continuumfit.fits|1143.226|-1e-05|14.526|0.0|28.08|0.0|6.072|0.0|2|2|2|-33.4225|33.4225|1143.092430664729|1143.3473368170712|1900|1925|1e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 113/G130M_1291_LP5_2062.400_16812/lf2t1c010/lf2t1c010_continuumfit.fits|1144.9379|-1e-05|14.526|0.0|28.08|0.0|6.072|0.0|2|2|2|-33.4225|33.4225|1144.8041306541052|1145.0594185103646|2071|2097|1e-05|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/BAT99 113/G130M_1291_LP5_2062.400_16812/lf2t1c010/lf2t1c010_continuumfit.fits|1142.3656|0.00086|15.383|0.017|21.82|0.375|-0.129|0.356|3|3|3|-58.4893|58.4893|1143.1236289122426|1143.5693783799497|1903|1947|0.00086|FeII|none|--|./modified_component_groups/input_group_0.VP
