specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment|groupfilename
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 47/E140M_1425_0.2x0.2_2728.000_15629/ody219010/ody219010_continuumfit.fits|1250.578|6e-05|15.726|0.143|11.811|1.349|-2.383|0.802|2|2|2|-31.7513|31.7513|1250.5155449634403|1250.7804447378796|11565|11585|5e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 47/E140M_1425_0.2x0.2_2728.000_15629/ody219010/ody219010_continuumfit.fits|1253.805|6e-05|15.726|0.0|11.811|0.0|-2.383|0.0|2|2|2|-31.7513|31.7513|1253.7423838040381|1254.007967127662|11806|11826|5e-05|S II|none|--|./modified_component_groups/input_group_2.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 47/E140M_1425_0.2x0.2_2728.000_15629/ody219010/ody219010_continuumfit.fits|1250.578|0.00095|16.109|0.119|23.48|1.853|-9.433|1.057|2|2|2|-40.107|40.107|1251.6030205608688|1251.9376315926515|11646|11671|0.00092|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 47/E140M_1425_0.2x0.2_2728.000_15629/ody219010/ody219010_continuumfit.fits|1253.805|0.00095|16.109|0.0|23.48|0.0|-9.433|0.0|2|2|2|-40.107|40.107|1254.8326655309147|1255.1681399952856|11888|11913|0.00092|S II|none|--|./modified_component_groups/input_group_3.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 47/E140M_1425_0.2x0.2_2728.000_15629/ody219010/ody219010_continuumfit.fits|1317.217|0.00092|14.161|0.036|26.818|2.613|0.54|1.879|2|2|2|-40.107|40.107|1318.2525926443086|1318.6050339470114|17757|17782|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 47/E140M_1425_0.2x0.2_2728.000_15629/ody219010/ody219010_continuumfit.fits|1370.132|0.00092|14.161|0.0|26.818|0.0|0.54|0.0|2|2|2|-40.107|40.107|1371.2091942822874|1371.5757937924327|22132|22157|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 47/E140M_1425_0.2x0.2_2728.000_15629/ody219010/ody219010_continuumfit.fits|1454.842|0.00092|14.161|0.0|26.818|0.0|0.54|0.0|2|2|2|-40.107|40.107|1455.9857930681362|1456.3750580181838|28537|28563|0.00092|NiII|none|--|./modified_component_groups/input_group_4.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 47/E140M_1425_0.2x0.2_2728.000_15629/ody219010/ody219010_continuumfit.fits|1608.4511|0.0009|15.479|0.135|32.57|3.444|-12.673|2.595|2|2|2|-31.7513|31.7513|1609.733580893665|1610.0742860184846|38505|38524|0.00086|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 47/E140M_1425_0.2x0.2_2728.000_15629/ody219010/ody219010_continuumfit.fits|1611.2005|0.0009|15.479|0.0|32.57|0.0|-12.673|0.0|2|2|2|-31.7513|31.7513|1612.485173097686|1612.8264606055636|38665|38685|0.00086|FeII|none|--|./modified_component_groups/input_group_0.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 47/E140M_1425_0.2x0.2_2728.000_15629/ody219010/ody219010_continuumfit.fits|1239.9253|0.00093|16.492|0.054|19.076|2.505|-2.629|1.854|2|2|2|-25.0668|25.0668|1240.9692379400465|1241.1765877827838|10614|10630|0.00092|MgII|none|--|./modified_component_groups/input_group_1.VP
/Users/billyli/Documents/float-for-morrow/LMC/30 Doradus/Cl* NGC 2070 MEL 47/E140M_1425_0.2x0.2_2728.000_15629/ody219010/ody219010_continuumfit.fits|1240.3947|0.00093|16.492|0.0|19.076|0.0|-2.629|0.0|2|2|2|-25.0668|25.0668|1241.4390331448778|1241.6464614842923|10650|10665|0.00092|MgII|none|--|./modified_component_groups/input_group_1.VP
