ID,Target,NHI,NS,NFe,S,Fe
A1,Cl* NGC 346 ELS 22,21.176 ± 0.017,15.567 ± 0.013,15.114 ± 0.138,6.390 ± 0.022,5.937 ± 0.139
A2,Cl* NGC 346 ELS 50,20.816 ± 0.040,15.403 ± 0.011,14.694 ± 0.010,6.585 ± 0.042,5.876 ± 0.042
A3,Cl* NGC 346 ELS 51,20.905 ± 0.033,15.482 ± 0.010,14.866 ± 0.261,6.576 ± 0.035,5.960 ± 0.263
A4,Cl* NGC 346 ELS 7,21.096 ± 0.022,15.602 ± 0.018,15.218 ± 0.081,6.505 ± 0.029,6.121 ± 0.084
A5,Cl* NGC 346 MPG 782,20.043 ± 0.157,15.399 ± 0.007,14.736 ± 0.052,7.348 ± 0.158,6.685 ± 0.166
A6,Cl* NGC 346 NMC 17,21.288 ± 0.016,15.791 ± 0.035,15.170 ± 0.116,6.502 ± 0.039,5.881 ± 0.117
A7,Cl* NGC 346 NMC 28,21.030 ± 0.026,15.567 ± 0.021,14.749 ± 0.009,6.536 ± 0.034,5.718 ± 0.028
A8,Cl* NGC 346 SSN 25,21.487 ± 0.019,15.686 ± 0.027,14.976 ± 0.099,6.199 ± 0.033,5.489 ± 0.101
A9,Cl* NGC 346 SSN 7,20.962 ± 0.024,15.511 ± 0.010,14.876 ± 0.023,6.548 ± 0.027,5.913 ± 0.034
A10,Cl* NGC 346 W 3,21.048 ± 0.013,15.512 ± 0.008,14.952 ± 0.059,6.463 ± 0.016,5.903 ± 0.061
A11,Cl* NGC 346 W 4,21.019 ± 0.026,15.624 ± 0.020,14.844 ± 0.027,6.604 ± 0.033,5.824 ± 0.038
A12,HD 5980,21.057 ± 0.031,15.478 ± 0.004,14.918 ± 0.026,6.704 ± 0.035,6.144 ± 0.043
A13,SK 80,20.983 ± 0.030,15.529 ± 0.012,15.188 ± 0.065,6.545 ± 0.032,6.204 ± 0.072
B1,AzV 446,21.168 ± 0.019,15.613 ± 0.010,15.333 ± 0.028,6.444 ± 0.022,6.164 ± 0.034
C1,2dFS 3694,20.779 ± 0.020,15.638 ± 0.117,14.578 ± 0.025,6.857 ± 0.119,5.797 ± 0.032
D1,SK 183,20.595 ± 0.074,15.353 ± 0.013,14.740 ± 0.022,6.756 ± 0.075,6.143 ± 0.077
E1,BAT99 113,21.785 ± 0.003,15.892 ± 0.012,15.329 ± 0.020,6.107 ± 0.012,5.544 ± 0.020
E2,BAT99 114,21.871 ± 0.002,15.940 ± 0.010,15.316 ± 0.014,6.069 ± 0.010,5.445 ± 0.014
E3,Brey 77,21.764 ± 0.015,16.685 ± 0.166,15.737 ± 0.025,6.921 ± 0.167,5.973 ± 0.029
E4,Cl* NGC 2070 MEL 25,21.788 ± 0.003,15.950 ± 0.012,15.371 ± 0.022,6.162 ± 0.012,5.583 ± 0.022
E5,Cl* NGC 2070 MEL 47,22.000 ± 0.000,16.109 ± 0.119,15.479 ± 0.135,6.109 ± 0.119,5.479 ± 0.135
E6,Cl* NGC 2070 MEL 55,21.702 ± 0.004,15.998 ± 0.024,15.310 ± 0.021,6.295 ± 0.024,5.607 ± 0.021
E7,Cl* NGC 2070 MH 57,21.885 ± 0.002,16.289 ± 0.017,15.458 ± 0.013,6.404 ± 0.017,5.573 ± 0.013
E8,RMC 140,21.936 ± 0.007,16.292 ± 0.077,15.738 ± 0.044,6.356 ± 0.077,5.802 ± 0.045
F1,BI 42,21.457 ± 0.006,15.694 ± 0.027,15.245 ± 0.037,6.237 ± 0.028,5.788 ± 0.038
F2,BRRG 75,21.520 ± 0.007,15.994 ± 0.057,15.624 ± 0.031,6.474 ± 0.057,6.104 ± 0.032
F3,PGMW 3053,21.323 ± 0.004,15.621 ± 0.014,15.073 ± 0.015,6.298 ± 0.015,5.750 ± 0.016
F4,PGMW 3058,21.598 ± 0.003,15.666 ± 0.007,14.997 ± 0.015,6.068 ± 0.008,5.399 ± 0.015
F5,PGMW 3100,21.687 ± 0.003,15.599 ± 0.016,15.089 ± 0.023,5.912 ± 0.016,5.402 ± 0.023
F6,PGMW 3120,21.498 ± 0.016,15.828 ± 0.054,15.240 ± 0.059,6.330 ± 0.056,5.742 ± 0.061
F7,PGMW 3168,21.472 ± 0.003,15.682 ± 0.007,15.346 ± 0.257,6.210 ± 0.008,5.874 ± 0.257
F8,PGMW 3204,21.419 ± 0.032,15.695 ± 0.025,14.962 ± 0.026,6.275 ± 0.040,5.542 ± 0.041
F9,[L72] LH 10-3061,21.561 ± 0.004,15.746 ± 0.021,15.007 ± 0.023,6.185 ± 0.021,5.446 ± 0.023
